acesso ao portal,acessoPortal
portal,acessoPortal
totvs,acessoPortal
1,engenhariaOp1
Um,engenhariaOp1
2,engenhariaOp2
Dois,engenhariaOp2
confirmado,fim
isso,fim
finalizar,fim
resolvido,fim
muito obrigado,fim
obrigado,fim
só isso,fim
até logo,fim
até mais,fim
tchau,fim
fim,fim
ok,fim
confirmo,fim
historico escolar,historico_escolar
historico,historico_escolar
acesso,InformaçõesAcesso
1,InformaçõesAcesso
um,InformaçõesAcesso
one,InformaçõesAcesso
fies,matriculaOp1
1,matriculaOp1
um,matriculaOp1
one,matriculaOp1
2,matriculaOp2
two,matriculaOp2
pro uni,matriculaOp2
prouni,matriculaOp2
dois,matriculaOp2
três,matriculaOp3
paravaler,matriculaOp3
para valer,matriculaOp3
pravaler,matriculaOp3
pra valer,matriculaOp3
three,matriculaOp3
tres,matriculaOp3
nao,nao
n,nao
not,nao
nope,nao
si,oi
Oie,oi
Oba,oi
Bom dia,oi
Boa tarde,oi
Boa noite,oi
Olá,oi
Ola,oi
Oi,oi
One,Opção1
Um,Opção1
1,Opção1
dois,Opção2
two,Opção2
2,Opção2
tres,opção3Coordenação
coordenação,opção3Coordenação
coordenacao,opção3Coordenação
3,opção3Coordenação
matricula,opção4Matricula
four,opção4Matricula
4,opção4Matricula
Quatro,opção4Matricula
contatos,opção5OutrosContatos
5,opção5OutrosContatos
outros contatos,opção5OutrosContatos
five,opção5OutrosContatos
cinco,opção5OutrosContatos
gravadas,opçãoAulasGravadas
gravações,opçãoAulasGravadas
aulas gravadas,opçãoAulasGravadas
boletos,OpçãoBoletos
pagamento,OpçãoBoletos
boleto,OpçãoBoletos
cronograma,opçãoCalendario
calendario,opçãoCalendario
horarios,opçãoCalendario
contatos,opçãoConversarAtendente
six,opçãoConversarAtendente
outros contatos,opçãoConversarAtendente
6,opçãoConversarAtendente
seis,opçãoConversarAtendente
arquivos,opçãoMateriaisAula
materiais de aula,opçãoMateriaisAula
materiais,opçãoMateriaisAula
atividades,opçãoMateriaisAula
credencial,OpçãoSenha
password,OpçãoSenha
senha,OpçãoSenha
transmisao,opçãoTeams
microsoft teams,opçãoTeams
teams,opçãoTeams
contato,senhaOp1
falar,senhaOp1
atendimento,senhaOp1
atendente,senhaOp1
atendente humano,senhaOp1
conversar,senhaOp1
retornar,senhaOp2
back,senhaOp2
retorno,senhaOp2
menu,senhaOp2
inicio,senhaOp2
volta,senhaOp2
voltar,senhaOp2
yes,sim
sim,sim
s,sim
